country,director,spine_number,title,url,year_of_release,aspect_ratio,blurb,cast,colour,credits,films_contained,formats,language,run_time,special_features,decade_of_release,dvd,bluray,english,boxset,boxsets_contained_in,available_individually,included_in_boxset,continent
United States,Jules Dassin,274.0,Night and the City,https://www.criterion.com/films/933-night-and-the-city,1950.0,1.33:1,"Two-bit hustler Harry Fabian (Richard Widmark) longs for ""a life of ease and plenty."" Trailed by an inglorious history of go-nowhere schemes, he tries to hatch a lucrative plan with a famous wrestler. But there is no easy money in this underworld of shifting alliances, bottomless graft, and pummeled flesh--and Fabian soon learns the horrible price of his ambition. Luminously shot in the streets of London while Hollywood blacklisters back home were closing in on director Jules Dassin, Night and the City, also starring Gene Tierney, is film noir of the first order, and one of Dassin's crowning achievements.","Richard Widmark, Gene Tierney, Googie Withers, Hugh Marlowe, Francis L. Sullivan, Herbert Lom, Stanislaus Zbyszko, Mike Mazurki, Charles Farrell",Black & White,Director Jules Dassin Screenplay Jo Eisenger From the novel by Gerald Kersh Music Franz Waxman Cinematography Max Greene Art direction C. P. Norman,Night and the City,"Blu-Ray, DVD",English,95.0,"New 4K digital restoration, with uncompressed monaural soundtrack on the Blu-ray , Complete 101-minute British version of the film, Audio commentary from 2005 with film scholar Glenn Erickson, Interview with director Jules Dassin from 2005, Excerpts from a 1972 television interview with Dassin, Comparison of the scores for the British and American versions of the film by historian Christopher Husted, Trailer, English subtitles for the deaf and hard of hearing, PLUS: An essay by critic Paul Arthur New cover by Owen Smith, New 4K digital restoration, with uncompressed monaural soundtrack on the Blu-ray , Complete 101-minute British version of the film, Audio commentary from 2005 with film scholar Glenn Erickson, Interview with director Jules Dassin from 2005, Excerpts from a 1972 television interview with Dassin, Comparison of the scores for the British and American versions of the film by historian Christopher Husted, Trailer, English subtitles for the deaf and hard of hearing, PLUS: An essay by critic Paul Arthur New cover by Owen Smith",1950.0,1,1,1,0,,1.0,0,North America
United States,Charles Laughton,541.0,The Night of the Hunter,https://www.criterion.com/films/27525-the-night-of-the-hunter,1955.0,1.66:1,"The Night of the Hunter--incredibly, the only film the great actor Charles Laughton ever directed--is truly a stand-alone masterwork. A horror movie with qualities of a Grimm fairy tale, it stars a sublimely sinister Robert Mitchum as a traveling preacher named Harry Powell (he of the tattooed knuckles), whose nefarious motives for marrying a fragile widow, played by Shelley Winters, are uncovered by her terrified young children. Graced by images of eerie beauty and a sneaky sense of humor, this ethereal, expressionistic American classic--also featuring the contributions of actress Lillian Gish and writer James Agee--is cinema's most eccentric rendering of the battle between good and evil., The Night of the Hunter was restored by the UCLA Film & Television Archive in cooperation with Metro-Goldwyn-Mayer Studios, Inc., with funding provided by Robert Sturm and The Film Foundation.","Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason, Evelyn Varden, Peter Graves, Don Beddoe, Billy Chapin, Sally Jane Bruce, Gloria Castillo",Black & White,Director Charles Laughton From the novel by Davis Grubb Screenplay James Agee Music Walter Schumann Photography Stanley Cortez Art direction Hilyard Brown Editing Robert Golden,The Night of the Hunter,"Blu-Ray, DVD",English,93.0,"New digital transfer made from 35 mm film elements restored by UCLA Film & Television Archive in cooperation with MGM Studios, with funding provided by the Film Foundation and Robert Sturm, with uncompressed monaural soundtrack on the Blu-ray edition, Audio commentary featuring second-unit director Terry Sanders, film critic F. X. Feeney, archivist Robert Gitt, and author Preston Neal Jones, Charles Laughton Directs ""The Night of the Hunter,"" a two-and-a-half-hour treasure trove of outtakes and behind-the-scenes footage, New documentary featuring interviews with producer Paul Gregory, Sanders, Feeney, Jones, and author Jeffrey Couchman, New video interview with Laughton biographer Simon Callow, Clip from the The Ed Sullivan Show in which cast members perform a scene deleted from the film, Fifteen-minute episode of the BBC show Moving Pictures about the film, Archival interview with cinematographer Stanley Cortez, Gallery of sketches by author Davis Grubb, author of the source novel, New video conversation between Gitt and film critic Leonard Maltin about Charles Laughton Directs, Original theatrical trailer, English subtitles for the deaf and hard of hearing, PLUS: A booklet featuring new essays by critics Terrence Rafferty and Michael Sragow , New digital transfer made from 35 mm film elements restored by UCLA Film & Television Archive in cooperation with MGM Studios, with funding provided by the Film Foundation and Robert Sturm, with uncompressed monaural soundtrack on the Blu-ray edition, Audio commentary featuring second-unit director Terry Sanders, film critic F. X. Feeney, archivist Robert Gitt, and author Preston Neal Jones, Charles Laughton Directs ""The Night of the Hunter,"" a two-and-a-half-hour treasure trove of outtakes and behind-the-scenes footage, New documentary featuring interviews with producer Paul Gregory, Sanders, Feeney, Jones, and author Jeffrey Couchman, New video interview with Laughton biographer Simon Callow, Clip from the The Ed Sullivan Show in which cast members perform a scene deleted from the film, Fifteen-minute episode of the BBC show Moving Pictures about the film, Archival interview with cinematographer Stanley Cortez, Gallery of sketches by author Davis Grubb, author of the source novel, New video conversation between Gitt and film critic Leonard Maltin about Charles Laughton Directs, Original theatrical trailer, English subtitles for the deaf and hard of hearing, PLUS: A booklet featuring new essays by critics Terrence Rafferty and Michael Sragow",1950.0,1,1,1,0,,1.0,0,North America
United States,George A. Romero,909.0,Night of the Living Dead,https://www.criterion.com/films/29331-night-of-the-living-dead,1968.0,1.37:1,"Shot outside Pittsburgh on a shoestring budget, by a band of filmmakers determined to make their mark, Night of the Living Dead, directed by horror master George A. Romero, is a great story of independent cinema: a midnight hit turned box-office smash that became one of the most influential films of all time. A deceptively simple tale of a group of strangers trapped in a farmhouse who find themselves fending off a horde of recently dead, flesh-eating ghouls, Romero's claustrophobic vision of a late-1960s America literally tearing itself apart rewrote the rules of the horror genre, combined gruesome gore with acute social commentary, and quietly broke ground by casting a black actor (Duane Jones) in its lead role. Stark, haunting, and more relevant than ever, Night of the Living Dead is back., Night of the Living Dead was restored by the Museum of Modern Art and The Film Foundation, with funding provided by the George Lucas Family Foundation and the Celeste Bartos Preservation Fund.","Duane Jones, Judith O'Dea, Karl Hardman, Marilyn Eastman, Keith Wayne, Judith Ridley, Russell W. Streiner, Kyra Schon, Charles Craig, S. William Hinzman, George Kosana, Frank Doak, Bill ""Chilly Billy"" Cardille, A. C. McDonald, Mark Ricci, Samuel R. Solito, Lee Hartman, Jack Givens, Rudy Ricci, Paula Richards, Richard Ricci, Vincent D. Survinski",Black & White,Director George A. Romero Produced by Russell W. Streiner Produced by Karl Hardman Screenplay by John A. Russo Screenplay by George A. Romero Edited by George A. Romero Production director Vincent D. Survinski Production manager George Kosana Photographed by The Latent Image Inc. Sound engineers Gary R. Streiner Sound engineers Marshall Booth Special effects Regis Survinski Special effects Tony Pantanella Makeup Hardman Associates Inc. Lighting supervisor Joseph Unitas Title sequence The Animators,Night of the Living Dead,"Blu-Ray, DVD",English,96.0,"New 4K digital restoration, supervised by director George A. Romero, coscreenwriter John A. Russo, sound engineer Gary R. Streiner, and producer Russell W. Streiner, New restoration of the monaural soundtrack, supervised by Romero and Gary Streiner and presented uncompressed on the Blu-ray, Night of Anubis, a never-before-presented work-print edit of the film, New program featuring filmmakers Frank Darabont, Guillermo del Toro, and Robert Rodriguez, Never-before-seen 16 mm dailies reel, New program featuring Russo on the commercial and industrial-film production company where key Night of the Living Dead filmmakers got their start, Two audio commentaries from 1994 featuring Romero, Russo, producer Karl Hardman, actor Judith O'Dea, and others, Archival interviews with Romero and actors Duane Jones and Judith Ridley, New programs about the film's style and score, New interview program about the direction of ghouls, featuring members of the cast and crew, New interviews with Gary Streiner and Russell Streiner, Newsreels from 1967, Trailer, radio spots, and TV spots, English subtitles for the deaf and hard of hearing, PLUS: An essay by critic Stuart Klawans, New 4K digital restoration, supervised by director George A. Romero, coscreenwriter John A. Russo, sound engineer Gary R. Streiner, and producer Russell W. Streiner, New restoration of the monaural soundtrack, supervised by Romero and Gary Streiner and presented uncompressed on the Blu-ray, Night of Anubis, a never-before-presented work-print edit of the film, New program featuring filmmakers Frank Darabont, Guillermo del Toro, and Robert Rodriguez, Never-before-seen 16 mm dailies reel, New program featuring Russo on the commercial and industrial-film production company where key Night of the Living Dead filmmakers got their start, Two audio commentaries from 1994 featuring Romero, Russo, producer Karl Hardman, actor Judith O'Dea, and others, Archival interviews with Romero and actors Duane Jones and Judith Ridley, New programs about the film's style and score, New interview program about the direction of ghouls, featuring members of the cast and crew, New interviews with Gary Streiner and Russell Streiner, Newsreels from 1967, Trailer, radio spots, and TV spots, English subtitles for the deaf and hard of hearing, PLUS: An essay by critic Stuart Klawans",1960.0,1,1,1,0,,1.0,0,North America
United States,Jim Jarmusch,401.0,Night on Earth,https://www.criterion.com/films/227-night-on-earth,1991.0,1.78:1,"Five cities. Five taxicabs. A multitude of strangers in the night. Jim Jarmusch assembled an extraordinary international cast of actors (including Gena Rowlands, Winona Ryder, Armin Mueller-Stahl, Beatrice Dalle, and Roberto Benigni) for this quintet of transitory tales of urban displacement and existential angst, all staged as encounters between cabbies and their fares. Spanning time zones, continents, and languages, Night on Earth winds its course through scenes of uproarious comedy, nocturnal poetry, and somber fatalism, set to a moody soundtrack by Tom Waits. Jarmusch's lovingly askew view of humanity from the passenger seat makes for one of his most charming and beloved films, a freewheeling showcase for the cosmopolitan range of his imagination.","Gena Rowlands, Winona Ryder, Lisanne Falk, Alan Randolph Scott I, Anthony Portillo, Armin Mueller-Stahl, Giancarlo Esposito, Rosie Perez, Richard Boes, Isaach De Bankole, Beatrice Dalle, Pascal Nzonzi, Emile Abossolo-M'bo, Roberto Benigni, Paolo Bonacelli, Gianni Schettino, Antonino Ragusa, Matti Pellonpaa, Karl Vaananen, Sakari Kuosmanen, Tomi Salmela",Color,Director Jim Jarmusch Written and produced by Jim Jarmusch Director of photography Frederick Elmes Line producer Rudd Simmons Edited by Jay Rabinowitz Music by Tom Waits Original songs written by Tom Waits Original songs written by Kathleen Brennan Executive producer Jim Stark Coproducer Demetra J. MacBride Co-executive producer Masahiro Inbe Co-executive producer Noboru Takayama Location sound mixer Drew Kunin,Night on Earth,"Blu-Ray, DVD","Finnish, French, Italian, English",128.0,"High-definition digital restoration, supervised and approved by director Jim Jarmusch, with 2.0 surround DTS-HD Master Audio soundtrack on the Blu-ray, Selected-scene commentary from 2007 featuring director of photography Frederick Elmes and location sound mixer Drew Kunin, Q&A with Jarmusch from 2007, in which he responds to questions sent in by fans, Belgian television interview with Jarmusch from 1992, English subtitles for the deaf and hard of hearing, PLUS: A booklet featuring essays by filmmakers, authors, and critics Thom Andersen, Paul Auster, Bernard Eisenschitz, Goffredo Fofi, and Peter von Bagh, and the lyrics to Tom Waits's original songs from the film, High-definition digital restoration, supervised and approved by director Jim Jarmusch, with 2.0 surround DTS-HD Master Audio soundtrack on the Blu-ray, Selected-scene commentary from 2007 featuring director of photography Frederick Elmes and location sound mixer Drew Kunin, Q&A with Jarmusch from 2007, in which he responds to questions sent in by fans, Belgian television interview with Jarmusch from 1992, English subtitles for the deaf and hard of hearing, PLUS: A booklet featuring essays by filmmakers, authors, and critics Thom Andersen, Paul Auster, Bernard Eisenschitz, Goffredo Fofi, and Peter von Bagh, and the lyrics to Tom Waits's original songs from the film",1990.0,1,1,1,0,,1.0,0,North America
Italy,Liliana Cavani,59.0,The Night Porter,https://www.criterion.com/films/604-the-night-porter,1974.0,1.85:1,"In this unsettling drama from Italian filmmaker Liliana Cavani, a concentration camp survivor (Charlotte Rampling) discovers her former torturer and lover (Dirk Bogarde) working as a porter at a hotel in postwar Vienna. When the couple attempt to re-create their sadomasochistic relationship, his former SS comrades begin to stalk them. Operatic and disturbing, The Night Porter deftly examines the lasting social and psychological effects of the Nazi regime.","Dirk Bogarde, Charlotte Rampling, Philippe Leroy, Gabriele Ferzetti, Giuseppe Addobbati, Isa Miranda, Nino Bignamini, Marino Mase, Amedeo Amodio, Piero Vida, Geoffrey Copleston, Manfred Frieberger, Nora Ricci, Piero Mazzinghi, Hilda Gunther, Kai S. Seefeld, Ugo Cardea",Color,Director Liliana Cavani Produced by Robert Gordon Edwards Produced by Esa De Simone Screenplay Liliana Cavani Screenplay Italo Moscati Director of photography Alfio Contini Music Daniele Paris Film editing Franco Arcalli Art directors Jean-Marie Simon Art directors Nedo Azzini Costumes Piero Tosi,The Night Porter,"Blu-Ray, DVD",English,118.0,"New 2K digital restoration, with uncompressed monaural soundtrack on the Blu-ray, New interview with director Liliana Cavani, Women of the Resistance, a fifty-minute 1965 documentary by Cavani composed of interviews with female partisans who survived the German invasion of Italy, with an introduction by the filmmaker, English subtitles for the deaf and hard of hearing, PLUS: An essay by scholar Gaetana Marrone, author of The Gaze and the Labyrinth: The Cinema of Liliana Cavani, and an excerpt from a 1975 interview with Cavani, New 2K digital restoration, with uncompressed monaural soundtrack on the Blu-ray, New interview with director Liliana Cavani, Women of the Resistance, a fifty-minute 1965 documentary by Cavani composed of interviews with female partisans who survived the German invasion of Italy, with an introduction by the filmmaker, English subtitles for the deaf and hard of hearing, PLUS: An essay by scholar Gaetana Marrone, author of The Gaze and the Labyrinth: The Cinema of Liliana Cavani, and an excerpt from a 1975 interview with Cavani",1970.0,1,1,1,0,,1.0,0,Europe
Italy,Federico Fellini,49.0,Nights of Cabiria,https://www.criterion.com/films/243-nights-of-cabiria,1957.0,1.37:1,"In the fifth of their immortal collaborations, Federico Fellini and the exquisitely expressive Giulietta Masina completed the creation of one of the most indelible characters in all of cinema: Cabiria, an irrepressible, fiercely independent sex worker who, as she moves through the sea of Rome's humanity, through adversity and heartbreak, must rely on herself--and her own indomitable spirit--to stay standing. Winner of the best actress prize at Cannes for Masina and the Academy Award for best foreign-language film, Nights of Cabiria brought the early, neorealist-influenced phase of Fellini's career to a transcendent close with its sublimely heartbreaking yet hopeful final image, which embodies, perhaps more than any other in the director's body of work, the blend of the bitter and the sweet that define his vision of the world.","Giulietta Masina, Francois Perier, Franca Marzi, Dorian Gray, Amedeo Nazzari, Aldo Silvani",Black & White,Director Federico Fellini Producer Dino De Laurentiis Cinematography Aldo Tonti Music Nino Rota Production design Piero Gherardi Editing Leo Catozzo Production manager Luigi De Laurentiis Screenplay Federico Fellini Screenplay Ennio Flaiano Screenplay Tullio Pinelli Additional dialogue Pier Paolo Pasolini,Nights of Cabiria,DVD,Italian,117.0,"Uncut, restored theatrical re-release version features the never-before-seen seven-minute ""man with a sack"" sequence, Exclusive video interview with former Fellini assistant Dominique Delouche, Audio interview with producer Dino De Laurentiis, The original and re-release theatrical trailers, Excerpt from Fellini's The White Sheik, in which Masina makes her first appearance as Cabiria, Restoration demonstration, New and improved English subtitle translation, Italian and optional English-dubbed tracks , Uncut, restored theatrical re-release version features the never-before-seen seven-minute ""man with a sack"" sequence, Exclusive video interview with former Fellini assistant Dominique Delouche, Audio interview with producer Dino De Laurentiis, The original and re-release theatrical trailers, Excerpt from Fellini's The White Sheik, in which Masina makes her first appearance as Cabiria, Restoration demonstration, New and improved English subtitle translation, Italian and optional English-dubbed tracks",1950.0,1,0,0,0,,1.0,0,Europe
United Kingdom,Roy Ward Baker,7.0,A Night to Remember,https://www.criterion.com/films/521-a-night-to-remember,1958.0,1.66:1,"On April 14, 1912, just before midnight, the ""unsinkable"" Titanic struck an iceberg. In less than three hours, it had plunged to the bottom of the sea, taking with it more than 1,500 of its 2,200 passengers. In his unforgettable rendering of Walter Lord's book of the same name, the acclaimed British director Roy Ward Baker depicts with sensitivity, awe, and a fine sense of tragedy the ship's last hours. Featuring remarkably restrained performances, A Night to Remember is cinema's subtlest and best dramatization of this monumental twentieth-century catastrophe.","Kenneth More, Ronald Allen, Robert Ayres, Honor Blackman, Anthony Bushell, John Cairney, Jill Dixon, Jane Downs, James Dyrenforth, Michael Goodliffe, Kenneth Griffith, Harriette Johns, Frank Lawton, Richard Leech, David McCallum, Alec McCowen, Tucker McGuire, John Merivale, Ralph Michael, Laurence Naismith, Russell Napier, Redmond Phillips, George Rose, Joseph Tomelty, Patrick Waddington, Jack Watling",Black & White,Director Roy Ward Baker Produced by William MacQuitty Executive producer Earl St. John Screenplay Eric Ambler Based on the book by Walter Lord Director of photography Geoffrey Unsworth Editor Sidney Hayers Music William Alwyn Art director Alex Vetchinsky,A Night to Remember,"Blu-Ray, DVD",English,123.0,"New digital restoration, with uncompressed monaural soundtrack on the Blu-ray edition, Audio commentary by Don Lynch and Ken Marschall, author and illustrator of ""Titanic"": An Illustrated History, The Making of ""A Night to Remember"" (1993), a sixty-minute documentary featuring producer William MacQuitty's rare behind-the-scenes footage, Archival interview with Titanic survivor Eva Hart, En natt att minnas (1962), a half-hour Swedish documentary featuring interviews with Titanic survivors, The Iceberg That Sank the ""Titanic"" (2006), a sixty-minute BBC documentary, Trailer, English subtitles for the deaf and hard of hearing, PLUS: A booklet featuring a new essay by film critic Michael Sragow and archival photographs , New digital restoration, with uncompressed monaural soundtrack on the Blu-ray edition, Audio commentary by Don Lynch and Ken Marschall, author and illustrator of ""Titanic"": An Illustrated History, The Making of ""A Night to Remember"" (1993), a sixty-minute documentary featuring producer William MacQuitty's rare behind-the-scenes footage, Archival interview with Titanic survivor Eva Hart, En natt att minnas (1962), a half-hour Swedish documentary featuring interviews with Titanic survivors, The Iceberg That Sank the ""Titanic"" (2006), a sixty-minute BBC documentary, Trailer, English subtitles for the deaf and hard of hearing, PLUS: A booklet featuring a new essay by film critic Michael Sragow and archival photographs",1950.0,1,1,1,0,,1.0,0,Europe
United Kingdom,Carol Reed,523.0,Night Train to Munich,https://www.criterion.com/films/25039-night-train-to-munich,1940.0,1.33:1,"Carol Reed's Night Train to Munich is a twisting, turning, cloak-and-dagger delight, combining comedy, romance, and thrills with the greatest of ease. Paced like an out-of-control locomotive, Night Train takes viewers on a journey from Prague to England to the Swiss Alps as Nazis pursue a Czech scientist and his daughter (Margaret Lockwood), who are being aided by a debonair British undercover agent, played by Rex Harrison. This captivating, long-overlooked adventure--which features Paul Henreid and a clever screenplay by Frank Launder and Sidney Gilliat, best known for writing Alfred Hitchcock's The Lady Vanishes--is a deftly concocted spy game that could give the Master of Suspense a run for his money.","Margaret Lockwood, Rex Harrison, Paul Henreid, Basil Radford, Naunton Wayne, James Harcourt, Felix Aylmer",Black & White,Director Carol Reed Produced by Edward Black Based on an original story by Gordon Wellesley Screenplay by Sidney Gilliat Screenplay by Frank Launder Photography Otto Kanturek Editing R. E. Dearing,Night Train to Munich,"Blu-Ray, DVD",English,95.0,"Restored high-definition digital transfer, with uncompressed monaural soundtrack, Conversation from 2010 between film scholars Peter Evans and Bruce Babington about director Carol Reed, screenwriters Frank Launder and Sidney Gilliat, and the social and political climate in which Night Train to Munich was made , English subtitles for the deaf and hard of hearing, PLUS: An essay by film critic Philip Kemp , Restored high-definition digital transfer, with uncompressed monaural soundtrack, Conversation from 2010 between film scholars Peter Evans and Bruce Babington about director Carol Reed, screenwriters Frank Launder and Sidney Gilliat, and the social and political climate in which Night Train to Munich was made , English subtitles for the deaf and hard of hearing, PLUS: An essay by film critic Philip Kemp",1940.0,1,1,1,0,,1.0,0,Europe
Japan,Mikio Naruse,,No Blood Relation,https://www.criterion.com/films/27545-no-blood-relation,1932.0,1.33:1,"In No Blood Relation, a gripping early example of Mikio Naruse's cinematic boldness, featuring a screenplay by Ozu's famed collaborator Kogo Noda, an actress returns to Tokyo after a successful stint in Hollywood to reclaim--with the help of her gangster brother--the daughter she abandoned years before.","Shinyo Nara, Yukiko Tsukuba, Hisako Kojima, Fumiko Katsuragi, Joji Oka, Yoshiko Okada, Ichiro Yuki, Shozaburo Abe",Black & White,Director Mikio Naruse Story by Shunyo Yanagawa Adaptation by Kogo Noda Assistant directors Masashi Katayama Assistant directors Toshihiko Nagata Assistant directors Minoru Matsui Cinematography Suketaro Inokai Production design Tatsuo Hamada Production design Yakichi Otani Production design Sadaji Hokari Production design Matasaburo Okuno,No Blood Relation,,Japanese,79.0,,1930.0,0,0,0,0,,0.0,0,Asia
Italy,Raffaello Matarazzo,,Nobody's Children,https://www.criterion.com/films/27623-nobody-s-children,1952.0,1.33:1,"Nobody's Children is the first half of an overflowing diptych of melodramas chronicling the labyrinthine misfortunes of a couple torn cruelly apart by fate (and meddling villains). When Guido (Amedeo Nazzari), a young count, falls for Luisa (Yvonne Sanson), the poor daughter of one of the miners who works at his family's quarry, his mother and her nefarious henchman scheme epically to separate the two forever.","Amedeo Nazzari, Yvonne Sanson, Francoise Rosay, Folco Lulli, Enrica Dyrell, Teresa Franchini, Gualtiero Tumiati, Alberto Farnese, Enrico Olivieri, Rosalia Rendazzo, Olga Solbelli, Enrico Glori, Aristide Baghetti",Black & White,Director Raffaello Matarazzo Producer Goffredo Lombardo Screenplay Aldo De Benedetti From the story by Vittorio Salvoni From the story by Ruggero Rindi Cinematography Rodolfo Lombardi Art direction Ottavio Scotti Art direction Gino Brosio Editing Mario Serandrei Music Salvatore Allegra,Nobody's Children,,Italian,96.0,,1950.0,0,0,0,0,,0.0,0,Europe
United States,Robert Downey Sr.,,No More Excuses,https://www.criterion.com/films/27940-no-more-excuses,1968.0,1.33:1,"Downey takes his camera and microphone onto the streets (and into some bedrooms) for a look at Manhattan's singles scene of the late sixties. Of course, that's not all: No More Excuses cuts between this footage and the fragmented tale of a time-traveling Civil War soldier, a rant from the director of the fictional Society for Indecency to Naked Animals, and other assorted improprieties., No More Excuses was preserved by Anthology Film Archives, with funding provided by The Film Foundation.","Robert Downey Sr., Allen Able, Lawrence Wolf, Linda Diesen, Prentice Wilhite, Don Calfa, Paula Morris, Amy Eckles, Single people",Black & White,Director Robert Downey Sr. Director Robert Soukis Producer Phantasma Films Screenplay Robert Downey Sr. Screenplay Robert Soukis Cinematography Stan Warnow Editing Fred von Bernewitz Assistant editor Ara Chelamayan Scenic design George Bakes,No More Excuses,,English,46.0,,1960.0,0,0,1,0,,0.0,0,North America
Japan,Akira Kurosawa,,No Regrets for Our Youth,https://www.criterion.com/films/887-no-regrets-for-our-youth,1946.0,1.33:1,"In Akira Kurosawa's first film after the end of World War II, future beloved Ozu regular Setsuko Hara gives an astonishing performance as Yukie, the only female protagonist in Kurosawa's body of work and one of his strongest heroes. Transforming herself from genteel bourgeois daughter to independent social activist, Yukie traverses a tumultuous decade in Japanese history.","Setsuko Hara, Susumu Fujita, Denjiro Okochi, Haruko Sugimura, Eiko Miyoshi, Aritake Kono",Black & White,Director Akira Kurosawa Screenplay Eijiro Hisaita Cinematography Asakazu Nakai Music Tadashi Hattori,No Regrets for Our Youth,,Japanese,110.0,,1940.0,0,0,0,0,,0.0,0,Asia
Guatemala,Gregory Nava,458.0,El Norte,https://www.criterion.com/films/972-el-norte,1983.0,1.78:1,"Brother and sister Enrique and Rosa flee persecution at home in Guatemala and journey north, through Mexico and on to the United States, with the dream of starting a new life. It's a story that happens every day, but until Gregory Nava's groundbreaking El Norte (The North), the personal travails of immigrants crossing the border to America had never been shown in the movies with such urgent humanism. A work of social realism imbued with dreamlike imagery, El Norte is a lovingly rendered, heartbreaking story of hope and survival, which critic Roger Ebert called ""a Grapes of Wrath for our time.""","Ernesto Gomez Cruz, David Villalpando, Zaide Silvia Gutierrez, Alicia del Lago, Miguel Gomez Giron, Jose Martin Ruano, Stella Quan, Eraclio Zepeda",Color,Director Gregory Nava Producer Anna Thomas Production Sound Robert Yerington Cinematography James Glennon Editing Betsy Blankett Screenplay Gregory Nava Screenplay Anna Thomas Casting Bob Morones Casting Toni-Conchita Rios Casting Jean Gill Set designer David Wasco,El Norte,"Blu-Ray, DVD","K'iche', English, Spanish",140.0,"New, restored high-definition digital transfer supervised and approved by director Gregory Nava, with uncompressed monaural soundtrack on the Blu-ray edition , New audio commentary featuring Nava, In the Service of the Shadows: The Making of ""El Norte"": a new video program featuring interviews with Nava, producer and co-writer Anna Thomas, actors Zaide Silvia Gutierrez and David Villalpando, and set designer David Wasco, The Journal of Diego Rodriguez Silva, Nava's 1972 award-winning student film , Gallery of Chiapas location-scouting photographs, Theatrical trailer, New and improved English subtitle translation, PLUS: A booklet featuring an essay by novelist Hector Tobar and Roger Ebert's 1983 review of the film , New, restored high-definition digital transfer supervised and approved by director Gregory Nava, with uncompressed monaural soundtrack on the Blu-ray edition , New audio commentary featuring Nava, In the Service of the Shadows: The Making of ""El Norte"": a new video program featuring interviews with Nava, producer and co-writer Anna Thomas, actors Zaide Silvia Gutierrez and David Villalpando, and set designer David Wasco, The Journal of Diego Rodriguez Silva, Nava's 1972 award-winning student film , Gallery of Chiapas location-scouting photographs, Theatrical trailer, New and improved English subtitle translation, PLUS: A booklet featuring an essay by novelist Hector Tobar and Roger Ebert's 1983 review of the film",1980.0,1,1,1,0,,1.0,0,North America
France,Maurice Pialat,337.0,A nos amours,https://www.criterion.com/films/779--nos-amours,1983.0,1.66:1,"With his raw style of filmmaking, Maurice Pialat has been called the John Cassavetes of French cinema, and the scorching A nos amours is one of his greatest achievements. In a revelatory film debut, the dynamic, fresh-faced Sandrine Bonnaire plays Suzanne, a fifteen-year-old Parisian who embarks on a sexual rampage in an effort to separate herself from her overbearing, beloved father (played with astonishing magnetism by Pialat himself), ineffectual mother, and brutish brother. A tender character study that can erupt in startling violence, A nos amours is one of the high-water marks of eighties French cinema.","Sandrine Bonnaire, Evelyne Ker, Maurice Pialat, Dominique Besnehard, Cyr Boitard, Cyril Collard, Maite Maille",Color,Director Maurice Pialat Screenplay Arlette Langmann Screenplay Maurice Pialat Associate producer Emmanuel Schlumberger Executive producer Micheline Pialat Editing Yann Dedet Sound Jean Umansky Music Klaus Nomi,A nos amours,DVD,French,102.0,"New, restored high-definition digital transfer, Original theatrical trailer, New and improved English subtitle translation, New interviews with Catherine Breillat and Jean-Pierre Gorin, A 2003 interview with actor Sandrine Bonnaire, The Human Eye, a 1999 documentary on the film, Archival interview with Maurice Pialat on the set, Actor auditions, A booklet featuring essays by critics Molly Haskell and Kent Jones and interviews with Pialat and cinematographer Jacques Loiseleux, New, restored high-definition digital transfer, Original theatrical trailer, New and improved English subtitle translation, New interviews with Catherine Breillat and Jean-Pierre Gorin, A 2003 interview with actor Sandrine Bonnaire, The Human Eye, a 1999 documentary on the film, Archival interview with Maurice Pialat on the set, Actor auditions, A booklet featuring essays by critics Molly Haskell and Kent Jones and interviews with Pialat and cinematographer Jacques Loiseleux",1980.0,1,0,0,0,,1.0,0,Europe
